File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A2GF_006_ET_500m_doy2000001_aid0001,ET_500m,aid0001,2000-01-01,8382.0,-0.4,1.5,"(-0.4,1.5)",1.1387616,0.294772,0.0868905,1.4,1.5,1.2,0.4,1.0
MOD16A2GF_006_ET_500m_doy2000009_aid0001,ET_500m,aid0001,2000-01-09,8382.0,-0.3,1.6,"(-0.3,1.6)",1.2870079,0.2981841,0.0889138,1.5,1.6,1.4,0.8,1.2
MOD16A2GF_006_ET_500m_doy2000017_aid0001,ET_500m,aid0001,2000-01-17,8382.0,-0.2,2.1,"(-0.2,2.1)",1.640933,0.3603774,0.1298719,1.9,2.1,1.7,0.9,1.5
MOD16A2GF_006_ET_500m_doy2000025_aid0001,ET_500m,aid0001,2000-01-25,8382.0,-0.2,2.0,"(-0.2,2.0)",1.5832737,0.3515,0.1235523,1.8,2.0,1.7,0.8,1.4
MOD16A2GF_006_ET_500m_doy2000033_aid0001,ET_500m,aid0001,2000-02-02,8382.0,0.1,1.5,"(0.1,1.5)",1.2798855,0.1705286,0.02908,1.4,1.5,1.3,0.9,1.2
MOD16A2GF_006_ET_500m_doy2000041_aid0001,ET_500m,aid0001,2000-02-10,8382.0,0.2,2.3,"(0.2,2.3)",1.8791219,0.2251027,0.0506712,2.0,2.3,1.9,1.5,1.8
MOD16A2GF_006_ET_500m_doy2000049_aid0001,ET_500m,aid0001,2000-02-18,8382.0,0.1,2.9,"(0.1,2.9)",2.4669172,0.3716794,0.1381456,2.7,2.9,2.6,1.7,2.3
MOD16A2GF_006_ET_500m_doy2000057_aid0001,ET_500m,aid0001,2000-02-26,8382.0,0.3,3.5,"(0.3,3.5)",2.5388929,0.3125966,0.0977166,2.7,3.1,2.6,2.0,2.4
MOD16A2GF_006_ET_500m_doy2000065_aid0001,ET_500m,aid0001,2000-03-05,8382.0,0.2,6.4,"(0.2,6.4)",4.0047005,0.7283694,0.5305219,4.4,5.4,4.1,2.7,3.7
MOD16A2GF_006_ET_500m_doy2000073_aid0001,ET_500m,aid0001,2000-03-13,8382.0,1.0,5.2,"(1.0,5.2)",3.2657838,0.65633,0.4307691,3.6,4.8,3.2,1.6,2.8
MOD16A2GF_006_ET_500m_doy2000081_aid0001,ET_500m,aid0001,2000-03-21,8382.0,0.3,9.1,"(0.3,9.1)",5.9060845,1.0129895,1.0261477,6.6,8.6,5.8,3.2,5.2
MOD16A2GF_006_ET_500m_doy2000089_aid0001,ET_500m,aid0001,2000-03-29,8382.0,3.2,9.7,"(3.2,9.7)",6.5675018,1.0724788,1.1502109,7.4,9.7,6.5,3.5,5.8
MOD16A2GF_006_ET_500m_doy2000097_aid0001,ET_500m,aid0001,2000-04-06,8382.0,5.2,10.1,"(5.2,10.1)",7.8695061,0.8857488,0.7845509,8.5,10.1,7.9,5.4,7.2
MOD16A2GF_006_ET_500m_doy2000105_aid0001,ET_500m,aid0001,2000-04-14,8382.0,10.9,15.0,"(10.9,15.0)",12.398115,0.5280681,0.2788559,12.8,14.1,12.5,10.9,11.9
