File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A2GF_006_ET_500m_doy2000001_aid0001,ET_500m,aid0001,2000-01-01,1792.0,18.5,38.4,"(18.5,38.4)",25.4747768,2.8192617,7.9482366,27.4,29.1,26.4,18.5,23.675
MOD16A2GF_006_ET_500m_doy2000009_aid0001,ET_500m,aid0001,2000-01-09,1792.0,18.8,41.0,"(18.8,41.0)",26.3789062,3.1216824,9.744901,28.5,30.3,27.4,18.8,24.4
MOD16A2GF_006_ET_500m_doy2000017_aid0001,ET_500m,aid0001,2000-01-17,1792.0,19.7,44.0,"(19.7,44.0)",29.1518973,3.6575123,13.377396,31.6,38.3,30.5,20.1,27.0
MOD16A2GF_006_ET_500m_doy2000025_aid0001,ET_500m,aid0001,2000-01-25,1792.0,18.5,40.5,"(18.5,40.5)",26.918471,3.1543389,9.9498541,29.0,30.8,28.0,19.0,25.0
MOD16A2GF_006_ET_500m_doy2000033_aid0001,ET_500m,aid0001,2000-02-02,1792.0,19.3,42.3,"(19.3,42.3)",28.6361049,3.3286847,11.0801417,30.9,37.0,29.9,20.4,26.7
MOD16A2GF_006_ET_500m_doy2000041_aid0001,ET_500m,aid0001,2000-02-10,1792.0,16.1,35.1,"(16.1,35.1)",22.4623884,2.6376402,6.9571456,24.3,25.9,23.3,16.1,20.7
MOD16A2GF_006_ET_500m_doy2000049_aid0001,ET_500m,aid0001,2000-02-18,1792.0,17.5,40.6,"(17.5,40.6)",26.5012277,3.4540961,11.9307797,28.9,35.2,27.7,17.9,24.5
MOD16A2GF_006_ET_500m_doy2000057_aid0001,ET_500m,aid0001,2000-02-26,1792.0,16.8,38.1,"(16.8,38.1)",23.4890067,3.3917831,11.5041928,25.0,30.5,23.7,16.8,21.3
MOD16A2GF_006_ET_500m_doy2000065_aid0001,ET_500m,aid0001,2000-03-05,1792.0,15.3,47.4,"(15.3,47.4)",25.8836496,7.3213176,53.6016914,34.825,47.4,23.5,15.3,20.5
MOD16A2GF_006_ET_500m_doy2000073_aid0001,ET_500m,aid0001,2000-03-13,1792.0,16.3,48.2,"(16.3,48.2)",27.2027902,6.2603693,39.1922244,30.3,39.5,26.25,16.3,22.5
MOD16A2GF_006_ET_500m_doy2000081_aid0001,ET_500m,aid0001,2000-03-21,1792.0,15.4,46.0,"(15.4,46.0)",30.5563616,6.6193223,43.8154283,35.5,46.0,34.1,15.4,23.975
MOD16A2GF_006_ET_500m_doy2000089_aid0001,ET_500m,aid0001,2000-03-29,1792.0,16.6,40.5,"(16.6,40.5)",28.5279018,3.2671957,10.6745675,31.2,37.5,29.3,19.4,26.4
MOD16A2GF_006_ET_500m_doy2000097_aid0001,ET_500m,aid0001,2000-04-06,1792.0,18.8,48.0,"(18.8,48.0)",32.9663504,4.5231153,20.4585719,36.3,39.1,34.4,21.6,30.2
MOD16A2GF_006_ET_500m_doy2000105_aid0001,ET_500m,aid0001,2000-04-14,1792.0,18.8,40.8,"(18.8,40.8)",28.0345424,3.2943668,10.8528526,30.5,33.0,28.7,19.1,25.9
MOD16A2GF_006_ET_500m_doy2000113_aid0001,ET_500m,aid0001,2000-04-22,1792.0,14.9,39.8,"(14.9,39.8)",26.5859375,3.7892754,14.358608,29.6,33.3,27.4,16.4,23.9
MOD16A2GF_006_ET_500m_doy2000121_aid0001,ET_500m,aid0001,2000-04-30,1792.0,16.4,37.9,"(16.4,37.9)",26.2336496,3.5097299,12.3182036,28.9,36.9,26.9,16.4,23.5
MOD16A2GF_006_ET_500m_doy2000129_aid0001,ET_500m,aid0001,2000-05-08,1792.0,9.5,26.7,"(9.5,26.7)",18.0052455,2.5907126,6.7117917,20.1,26.0,18.2,10.1,16.0
MOD16A2GF_006_ET_500m_doy2000137_aid0001,ET_500m,aid0001,2000-05-16,1792.0,11.0,28.8,"(11.0,28.8)",18.5152344,3.2126246,10.3209565,21.3,28.8,18.75,11.0,15.8
