File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A2GF_006_ET_500m_doy2000001_aid0001,ET_500m,aid0001,2000-01-01,66728.0,2.1,4.9,"(2.1,4.9)",3.5278324,0.7330289,0.5373314,4.2,4.9,3.6,2.1,2.8
MOD16A2GF_006_ET_500m_doy2000009_aid0001,ET_500m,aid0001,2000-01-09,66728.0,4.1,7.4,"(4.1,7.4)",6.268466,0.3997948,0.1598358,6.5,7.2,6.2,5.3,6.0
MOD16A2GF_006_ET_500m_doy2000017_aid0001,ET_500m,aid0001,2000-01-17,66728.0,3.1,9.3,"(3.1,9.3)",6.290238,1.1365136,1.2916632,7.0,8.8,6.6,4.0,5.8
MOD16A2GF_006_ET_500m_doy2000025_aid0001,ET_500m,aid0001,2000-01-25,66728.0,5.2,10.0,"(5.2,10.0)",7.5606597,0.8412747,0.707743,7.9,9.2,7.3,5.7,7.0
MOD16A2GF_006_ET_500m_doy2000033_aid0001,ET_500m,aid0001,2000-02-02,66728.0,4.3,9.2,"(4.3,9.2)",6.7637813,0.7849743,0.6161846,7.1,8.4,6.5,4.9,6.2
MOD16A2GF_006_ET_500m_doy2000041_aid0001,ET_500m,aid0001,2000-02-10,66728.0,4.2,9.0,"(4.2,9.0)",6.6026466,0.7898633,0.623884,7.1,8.9,6.4,4.2,5.9
MOD16A2GF_006_ET_500m_doy2000049_aid0001,ET_500m,aid0001,2000-02-18,66728.0,4.6,11.6,"(4.6,11.6)",7.6973999,1.4178191,2.010211,8.1,10.2,7.2,4.6,6.7
MOD16A2GF_006_ET_500m_doy2000057_aid0001,ET_500m,aid0001,2000-02-26,66728.0,4.8,13.0,"(4.8,13.0)",7.4249865,1.2372225,1.5307195,8.0,10.1,7.1,4.8,6.6
MOD16A2GF_006_ET_500m_doy2000065_aid0001,ET_500m,aid0001,2000-03-05,66728.0,3.9,13.3,"(3.9,13.3)",6.7181963,1.3471733,1.814876,7.7,10.7,6.5,3.9,5.7
MOD16A2GF_006_ET_500m_doy2000073_aid0001,ET_500m,aid0001,2000-03-13,66728.0,3.5,11.6,"(3.5,11.6)",5.9487067,1.3680797,1.871642,7.3,11.2,5.8,3.5,4.7
MOD16A2GF_006_ET_500m_doy2000081_aid0001,ET_500m,aid0001,2000-03-21,66728.0,2.9,9.9,"(2.9,9.9)",6.7571244,0.8032373,0.6451902,7.3,8.9,6.6,4.6,6.2
MOD16A2GF_006_ET_500m_doy2000089_aid0001,ET_500m,aid0001,2000-03-29,66728.0,0.2,8.8,"(0.2,8.8)",6.6281636,0.8406729,0.7067309,7.3,8.8,6.7,4.1,5.9
MOD16A2GF_006_ET_500m_doy2000097_aid0001,ET_500m,aid0001,2000-04-06,66728.0,1.3,5.1,"(1.3,5.1)",2.3040942,0.4732672,0.2239819,2.7,3.7,2.1,1.3,2.0
MOD16A2GF_006_ET_500m_doy2000105_aid0001,ET_500m,aid0001,2000-04-14,66728.0,1.7,7.7,"(1.7,7.7)",3.9588449,0.9511156,0.9046208,4.7,6.9,3.9,1.7,3.2
MOD16A2GF_006_ET_500m_doy2000113_aid0001,ET_500m,aid0001,2000-04-22,66728.0,1.6,7.9,"(1.6,7.9)",3.7209462,1.1588112,1.3428434,4.6,7.3,3.5,1.6,2.8
MOD16A2GF_006_ET_500m_doy2000121_aid0001,ET_500m,aid0001,2000-04-30,66728.0,0.7,26.6,"(0.7,26.6)",1.7168505,0.4372224,0.1911634,2.0,2.9,1.6,0.7,1.4
MOD16A2GF_006_ET_500m_doy2000129_aid0001,ET_500m,aid0001,2000-05-08,66728.0,0.4,15.6,"(0.4,15.6)",1.2969413,0.3765948,0.1418236,1.4,1.8,1.2,0.7,1.1
MOD16A2GF_006_ET_500m_doy2000137_aid0001,ET_500m,aid0001,2000-05-16,66728.0,0.2,14.7,"(0.2,14.7)",1.1443787,0.521224,0.2716744,1.3,2.0,1.0,0.2,0.8
MOD16A2GF_006_ET_500m_doy2000145_aid0001,ET_500m,aid0001,2000-05-24,66728.0,0.1,10.1,"(0.1,10.1)",0.9182322,0.509847,0.2599439,1.1,1.8,0.7,0.1,0.6
MOD16A2GF_006_ET_500m_doy2000153_aid0001,ET_500m,aid0001,2000-06-01,66728.0,0.2,9.5,"(0.2,9.5)",0.9993691,0.494631,0.2446599,1.2,1.9,0.8,0.2,0.7
MOD16A2GF_006_ET_500m_doy2000161_aid0001,ET_500m,aid0001,2000-06-09,66728.0,0.4,7.6,"(0.4,7.6)",1.1411971,0.4728292,0.2235675,1.3,1.9,1.0,0.4,0.9
MOD16A2GF_006_ET_500m_doy2000169_aid0001,ET_500m,aid0001,2000-06-17,66728.0,0.5,10.7,"(0.5,10.7)",1.2075141,0.5085979,0.2586718,1.3,1.9,1.0,0.5,0.9
MOD16A2GF_006_ET_500m_doy2000177_aid0001,ET_500m,aid0001,2000-06-25,66728.0,0.4,10.0,"(0.4,10.0)",1.0213299,0.4843327,0.2345782,1.0,1.3,0.9,0.5,0.8
MOD16A2GF_006_ET_500m_doy2000185_aid0001,ET_500m,aid0001,2000-07-03,66728.0,0.3,8.7,"(0.3,8.7)",0.840226,0.4511844,0.2035674,0.8,0.9,0.7,0.6,0.7
MOD16A2GF_006_ET_500m_doy2000193_aid0001,ET_500m,aid0001,2000-07-11,66728.0,0.7,7.5,"(0.7,7.5)",1.1667081,0.3191217,0.1018387,1.2,1.5,1.1,0.7,1.0
MOD16A2GF_006_ET_500m_doy2000201_aid0001,ET_500m,aid0001,2000-07-19,66728.0,0.4,6.8,"(0.4,6.8)",1.1647329,0.3446927,0.118813,1.3,1.7,1.1,0.6,1.0
MOD16A2GF_006_ET_500m_doy2000209_aid0001,ET_500m,aid0001,2000-07-27,66728.0,0.2,6.6,"(0.2,6.6)",0.6421697,0.2269743,0.0515173,0.7,0.8,0.6,0.5,0.6
MOD16A2GF_006_ET_500m_doy2000217_aid0001,ET_500m,aid0001,2000-08-04,66728.0,0.4,5.7,"(0.4,5.7)",0.8177931,0.1891416,0.0357746,0.9,1.2,0.8,0.4,0.7
MOD16A2GF_006_ET_500m_doy2000225_aid0001,ET_500m,aid0001,2000-08-12,66728.0,0.3,5.1,"(0.3,5.1)",0.700051,0.1670925,0.0279199,0.8,1.1,0.7,0.3,0.6
MOD16A2GF_006_ET_500m_doy2000233_aid0001,ET_500m,aid0001,2000-08-20,66728.0,0.3,6.6,"(0.3,6.6)",0.7144947,0.1683613,0.0283455,0.8,0.9,0.7,0.6,0.7
MOD16A2GF_006_ET_500m_doy2000241_aid0001,ET_500m,aid0001,2000-08-28,66728.0,0.1,4.0,"(0.1,4.0)",0.4105773,0.1382336,0.0191085,0.5,0.6,0.4,0.3,0.4
MOD16A2GF_006_ET_500m_doy2000249_aid0001,ET_500m,aid0001,2000-09-05,66728.0,0.2,4.6,"(0.2,4.6)",0.4161491,0.1178588,0.0138907,0.5,0.6,0.4,0.3,0.4
MOD16A2GF_006_ET_500m_doy2000257_aid0001,ET_500m,aid0001,2000-09-13,66728.0,0.3,3.0,"(0.3,3.0)",0.5058266,0.1196267,0.0143106,0.6,0.9,0.5,0.3,0.4
MOD16A2GF_006_ET_500m_doy2000265_aid0001,ET_500m,aid0001,2000-09-21,66728.0,1.0,7.1,"(1.0,7.1)",1.4101307,0.1885308,0.0355439,1.5,1.8,1.4,1.0,1.3
MOD16A2GF_006_ET_500m_doy2000273_aid0001,ET_500m,aid0001,2000-09-29,66728.0,1.5,4.6,"(1.5,4.6)",2.6553396,0.7103785,0.5046376,3.4,4.6,2.5,1.5,2.0
MOD16A2GF_006_ET_500m_doy2000281_aid0001,ET_500m,aid0001,2000-10-07,66728.0,1.0,3.3,"(1.0,3.3)",1.7527784,0.3266205,0.1066809,1.9,2.3,1.7,1.2,1.6
MOD16A2GF_006_ET_500m_doy2000289_aid0001,ET_500m,aid0001,2000-10-15,66728.0,1.2,3.3,"(1.2,3.3)",1.8652889,0.3091674,0.0955845,2.0,2.4,1.8,1.3,1.7
